topic,question,option_a,option_b,option_c,option_d,correct,explanation,difficulty
Seating Arrangement (Linear),"<div style=""text-align:center; margin: 15px 0;""><svg xmlns=""http://www.w3.org/2000/svg"" width=""300"" height=""80"" viewBox=""0 0 300 80"" style=""background:#fff; border: 1px solid #ddd; border-radius: 8px;""><line x1=""50"" y1=""50"" x2=""250"" y2=""50"" stroke=""black"" stroke-width=""4""/><text x=""70"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">A</text><text x=""110"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">B</text><text x=""150"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">C</text><text x=""190"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">D</text><text x=""230"" y=""40"" font-size=""12"" text-anchor=""middle"" dominant-baseline=""middle"" fill=""black"">E</text></svg></div><br><p style=""font-weight:bold; font-size:1.1rem;"">Linear Seating Q15: Five people A, B, C, D, and E are sitting in a row. C is in the middle. Who is to the immediate right of B?</p>",C,A,D,E,A,"In the arrangement A-B-C-D-E, C is to the right of B.",Medium
Simple Caselet DI,"
        <table style=""width:100%; border-collapse: collapse; margin: 10px 0; font-size: 0.9rem;"">
            <tr style=""background: #f8f9fa;"">
                <th style=""border: 1px solid #ddd; padding: 8px;"">Department</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Males</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Females</th>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">IT</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">150</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">100</td>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">HR</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">50</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">80</td>
            </tr>
        </table>
        <br><p style=""font-weight:bold; font-size:1.1rem;"">Caselet DI Q1: Based on the department data table provided, what is the total number of employees in the IT department?</p>",250,200,150,130,A,Total IT = 150 Males + 100 Females = 250.,Medium
Simple Caselet DI,"
        <table style=""width:100%; border-collapse: collapse; margin: 10px 0; font-size: 0.9rem;"">
            <tr style=""background: #f8f9fa;"">
                <th style=""border: 1px solid #ddd; padding: 8px;"">Department</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Males</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Females</th>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">IT</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">150</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">100</td>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">HR</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">50</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">80</td>
            </tr>
        </table>
        <br><p style=""font-weight:bold; font-size:1.1rem;"">Caselet DI Q2: Based on the department data table provided, what is the total number of employees in the IT department?</p>",250,200,150,130,A,Total IT = 150 Males + 100 Females = 250.,Medium
Simple Caselet DI,"
        <table style=""width:100%; border-collapse: collapse; margin: 10px 0; font-size: 0.9rem;"">
            <tr style=""background: #f8f9fa;"">
                <th style=""border: 1px solid #ddd; padding: 8px;"">Department</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Males</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Females</th>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">IT</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">150</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">100</td>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">HR</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">50</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">80</td>
            </tr>
        </table>
        <br><p style=""font-weight:bold; font-size:1.1rem;"">Caselet DI Q3: Based on the department data table provided, what is the total number of employees in the IT department?</p>",250,200,150,130,A,Total IT = 150 Males + 100 Females = 250.,Medium
Simple Caselet DI,"
        <table style=""width:100%; border-collapse: collapse; margin: 10px 0; font-size: 0.9rem;"">
            <tr style=""background: #f8f9fa;"">
                <th style=""border: 1px solid #ddd; padding: 8px;"">Department</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Males</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Females</th>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">IT</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">150</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">100</td>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">HR</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">50</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">80</td>
            </tr>
        </table>
        <br><p style=""font-weight:bold; font-size:1.1rem;"">Caselet DI Q4: Based on the department data table provided, what is the total number of employees in the IT department?</p>",250,200,150,130,A,Total IT = 150 Males + 100 Females = 250.,Medium
Simple Caselet DI,"
        <table style=""width:100%; border-collapse: collapse; margin: 10px 0; font-size: 0.9rem;"">
            <tr style=""background: #f8f9fa;"">
                <th style=""border: 1px solid #ddd; padding: 8px;"">Department</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Males</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Females</th>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">IT</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">150</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">100</td>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">HR</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">50</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">80</td>
            </tr>
        </table>
        <br><p style=""font-weight:bold; font-size:1.1rem;"">Caselet DI Q5: Based on the department data table provided, what is the total number of employees in the IT department?</p>",250,200,150,130,A,Total IT = 150 Males + 100 Females = 250.,Medium
Simple Caselet DI,"
        <table style=""width:100%; border-collapse: collapse; margin: 10px 0; font-size: 0.9rem;"">
            <tr style=""background: #f8f9fa;"">
                <th style=""border: 1px solid #ddd; padding: 8px;"">Department</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Males</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Females</th>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">IT</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">150</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">100</td>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">HR</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">50</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">80</td>
            </tr>
        </table>
        <br><p style=""font-weight:bold; font-size:1.1rem;"">Caselet DI Q6: Based on the department data table provided, what is the total number of employees in the IT department?</p>",250,200,150,130,A,Total IT = 150 Males + 100 Females = 250.,Medium
Simple Caselet DI,"
        <table style=""width:100%; border-collapse: collapse; margin: 10px 0; font-size: 0.9rem;"">
            <tr style=""background: #f8f9fa;"">
                <th style=""border: 1px solid #ddd; padding: 8px;"">Department</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Males</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Females</th>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">IT</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">150</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">100</td>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">HR</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">50</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">80</td>
            </tr>
        </table>
        <br><p style=""font-weight:bold; font-size:1.1rem;"">Caselet DI Q7: Based on the department data table provided, what is the total number of employees in the IT department?</p>",250,200,150,130,A,Total IT = 150 Males + 100 Females = 250.,Medium
Simple Caselet DI,"
        <table style=""width:100%; border-collapse: collapse; margin: 10px 0; font-size: 0.9rem;"">
            <tr style=""background: #f8f9fa;"">
                <th style=""border: 1px solid #ddd; padding: 8px;"">Department</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Males</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Females</th>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">IT</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">150</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">100</td>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">HR</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">50</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">80</td>
            </tr>
        </table>
        <br><p style=""font-weight:bold; font-size:1.1rem;"">Caselet DI Q8: Based on the department data table provided, what is the total number of employees in the IT department?</p>",250,200,150,130,A,Total IT = 150 Males + 100 Females = 250.,Medium
Simple Caselet DI,"
        <table style=""width:100%; border-collapse: collapse; margin: 10px 0; font-size: 0.9rem;"">
            <tr style=""background: #f8f9fa;"">
                <th style=""border: 1px solid #ddd; padding: 8px;"">Department</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Males</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Females</th>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">IT</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">150</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">100</td>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">HR</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">50</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">80</td>
            </tr>
        </table>
        <br><p style=""font-weight:bold; font-size:1.1rem;"">Caselet DI Q9: Based on the department data table provided, what is the total number of employees in the IT department?</p>",250,200,150,130,A,Total IT = 150 Males + 100 Females = 250.,Medium
Simple Caselet DI,"
        <table style=""width:100%; border-collapse: collapse; margin: 10px 0; font-size: 0.9rem;"">
            <tr style=""background: #f8f9fa;"">
                <th style=""border: 1px solid #ddd; padding: 8px;"">Department</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Males</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Females</th>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">IT</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">150</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">100</td>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">HR</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">50</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">80</td>
            </tr>
        </table>
        <br><p style=""font-weight:bold; font-size:1.1rem;"">Caselet DI Q10: Based on the department data table provided, what is the total number of employees in the IT department?</p>",250,200,150,130,A,Total IT = 150 Males + 100 Females = 250.,Medium
Simple Caselet DI,"
        <table style=""width:100%; border-collapse: collapse; margin: 10px 0; font-size: 0.9rem;"">
            <tr style=""background: #f8f9fa;"">
                <th style=""border: 1px solid #ddd; padding: 8px;"">Department</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Males</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Females</th>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">IT</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">150</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">100</td>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">HR</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">50</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">80</td>
            </tr>
        </table>
        <br><p style=""font-weight:bold; font-size:1.1rem;"">Caselet DI Q11: Based on the department data table provided, what is the total number of employees in the IT department?</p>",250,200,150,130,A,Total IT = 150 Males + 100 Females = 250.,Medium
Simple Caselet DI,"
        <table style=""width:100%; border-collapse: collapse; margin: 10px 0; font-size: 0.9rem;"">
            <tr style=""background: #f8f9fa;"">
                <th style=""border: 1px solid #ddd; padding: 8px;"">Department</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Males</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Females</th>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">IT</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">150</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">100</td>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">HR</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">50</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">80</td>
            </tr>
        </table>
        <br><p style=""font-weight:bold; font-size:1.1rem;"">Caselet DI Q12: Based on the department data table provided, what is the total number of employees in the IT department?</p>",250,200,150,130,A,Total IT = 150 Males + 100 Females = 250.,Medium
Simple Caselet DI,"
        <table style=""width:100%; border-collapse: collapse; margin: 10px 0; font-size: 0.9rem;"">
            <tr style=""background: #f8f9fa;"">
                <th style=""border: 1px solid #ddd; padding: 8px;"">Department</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Males</th>
                <th style=""border: 1px solid #ddd; padding: 8px;"">Females</th>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">IT</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">150</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">100</td>
            </tr>
            <tr>
                <td style=""border: 1px solid #ddd; padding: 8px;"">HR</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">50</td>
                <td style=""border: 1px solid #ddd; padding: 8px;"">80</td>
            </tr>
        </table>
        <br><p style=""font-weight:bold; font-size:1.1rem;"">Caselet DI Q13: Based on the department data table provided, what is the total number of employees in the IT department?</p>",250,200,150,130,A,Total IT = 150 Males + 100 Females = 250.,Medium
